statement_id,bank,pdf_path,ground_truth_path,transaction_count,opening_balance,closing_balance,amount_style
SBI_004,SBI,pdfs/SBI/SBI_004.pdf,ground_truth/SBI/SBI_004.json,30,124347.72,163435.83,single_amount_suffix
SBI_005,SBI,pdfs/SBI/SBI_005.pdf,ground_truth/SBI/SBI_005.json,53,115294.99,-11477.1,single_amount_suffix
SBI_006,SBI,pdfs/SBI/SBI_006.pdf,ground_truth/SBI/SBI_006.json,30,65307.32,101877.2,single_amount_suffix
SBI_007,SBI,pdfs/SBI/SBI_007.pdf,ground_truth/SBI/SBI_007.json,56,17218.85,-81096.26,single_amount_suffix
SBI_008,SBI,pdfs/SBI/SBI_008.pdf,ground_truth/SBI/SBI_008.json,41,21383.39,-37638.19,single_amount_suffix
SBI_009,SBI,pdfs/SBI/SBI_009.pdf,ground_truth/SBI/SBI_009.json,36,103009.92,69946.37,single_amount_suffix
SBI_010,SBI,pdfs/SBI/SBI_010.pdf,ground_truth/SBI/SBI_010.json,40,49179.79,-14253.01,single_amount_suffix
SBI_011,SBI,pdfs/SBI/SBI_011.pdf,ground_truth/SBI/SBI_011.json,54,69256.52,-16245.03,single_amount_suffix
SBI_012,SBI,pdfs/SBI/SBI_012.pdf,ground_truth/SBI/SBI_012.json,47,41179.06,7009.65,single_amount_suffix
SBI_013,SBI,pdfs/SBI/SBI_013.pdf,ground_truth/SBI/SBI_013.json,48,143573.64,149645.46,single_amount_suffix
SBI_014,SBI,pdfs/SBI/SBI_014.pdf,ground_truth/SBI/SBI_014.json,47,120694.89,17447.95,single_amount_suffix
SBI_015,SBI,pdfs/SBI/SBI_015.pdf,ground_truth/SBI/SBI_015.json,27,138347.85,123569.43,single_amount_suffix
AXIS_001,AXIS,pdfs/AXIS/AXIS_001.pdf,ground_truth/AXIS/AXIS_001.json,56,71862.96,-6294.09,separate_dr_cr
AXIS_002,AXIS,pdfs/AXIS/AXIS_002.pdf,ground_truth/AXIS/AXIS_002.json,49,16451.13,3338.98,separate_dr_cr
AXIS_003,AXIS,pdfs/AXIS/AXIS_003.pdf,ground_truth/AXIS/AXIS_003.json,35,43851.72,22250.67,separate_dr_cr
AXIS_004,AXIS,pdfs/AXIS/AXIS_004.pdf,ground_truth/AXIS/AXIS_004.json,53,149764.29,143609.38,separate_dr_cr
AXIS_005,AXIS,pdfs/AXIS/AXIS_005.pdf,ground_truth/AXIS/AXIS_005.json,51,51692.51,10241.25,separate_dr_cr
AXIS_006,AXIS,pdfs/AXIS/AXIS_006.pdf,ground_truth/AXIS/AXIS_006.json,32,11815.22,50782.56,separate_dr_cr
AXIS_007,AXIS,pdfs/AXIS/AXIS_007.pdf,ground_truth/AXIS/AXIS_007.json,32,141055.83,83124.35,separate_dr_cr
AXIS_008,AXIS,pdfs/AXIS/AXIS_008.pdf,ground_truth/AXIS/AXIS_008.json,47,114152.59,57518.16,separate_dr_cr
AXIS_009,AXIS,pdfs/AXIS/AXIS_009.pdf,ground_truth/AXIS/AXIS_009.json,25,23038.39,13777.37,separate_dr_cr
AXIS_010,AXIS,pdfs/AXIS/AXIS_010.pdf,ground_truth/AXIS/AXIS_010.json,47,17513.78,-66808.34,separate_dr_cr
AXIS_011,AXIS,pdfs/AXIS/AXIS_011.pdf,ground_truth/AXIS/AXIS_011.json,48,21210.48,-27136.71,separate_dr_cr
AXIS_012,AXIS,pdfs/AXIS/AXIS_012.pdf,ground_truth/AXIS/AXIS_012.json,60,126288.7,36957.29,separate_dr_cr
AXIS_013,AXIS,pdfs/AXIS/AXIS_013.pdf,ground_truth/AXIS/AXIS_013.json,33,48729.26,44033.62,separate_dr_cr
AXIS_014,AXIS,pdfs/AXIS/AXIS_014.pdf,ground_truth/AXIS/AXIS_014.json,31,11033.6,55510.18,separate_dr_cr
AXIS_015,AXIS,pdfs/AXIS/AXIS_015.pdf,ground_truth/AXIS/AXIS_015.json,26,40510.14,-6983.92,separate_dr_cr
KOTAK_001,KOTAK,pdfs/KOTAK/KOTAK_001.pdf,ground_truth/KOTAK/KOTAK_001.json,45,82421.06,42685.62,single_amount_suffix
KOTAK_002,KOTAK,pdfs/KOTAK/KOTAK_002.pdf,ground_truth/KOTAK/KOTAK_002.json,47,21832.7,-70097.21,single_amount_suffix
KOTAK_003,KOTAK,pdfs/KOTAK/KOTAK_003.pdf,ground_truth/KOTAK/KOTAK_003.json,59,33870.4,-49789.91,single_amount_suffix
KOTAK_004,KOTAK,pdfs/KOTAK/KOTAK_004.pdf,ground_truth/KOTAK/KOTAK_004.json,28,41017.43,117263.9,single_amount_suffix
KOTAK_005,KOTAK,pdfs/KOTAK/KOTAK_005.pdf,ground_truth/KOTAK/KOTAK_005.json,32,134541.23,78611.55,single_amount_suffix
KOTAK_006,KOTAK,pdfs/KOTAK/KOTAK_006.pdf,ground_truth/KOTAK/KOTAK_006.json,58,133797.29,-22836.45,single_amount_suffix
KOTAK_007,KOTAK,pdfs/KOTAK/KOTAK_007.pdf,ground_truth/KOTAK/KOTAK_007.json,49,7130.55,-90809.01,single_amount_suffix
KOTAK_008,KOTAK,pdfs/KOTAK/KOTAK_008.pdf,ground_truth/KOTAK/KOTAK_008.json,38,66010.12,90995.35,single_amount_suffix
KOTAK_009,KOTAK,pdfs/KOTAK/KOTAK_009.pdf,ground_truth/KOTAK/KOTAK_009.json,34,142835.55,146472.33,single_amount_suffix
KOTAK_010,KOTAK,pdfs/KOTAK/KOTAK_010.pdf,ground_truth/KOTAK/KOTAK_010.json,30,55388.43,26852.13,single_amount_suffix
KOTAK_011,KOTAK,pdfs/KOTAK/KOTAK_011.pdf,ground_truth/KOTAK/KOTAK_011.json,53,21212.37,-45515.33,single_amount_suffix
KOTAK_012,KOTAK,pdfs/KOTAK/KOTAK_012.pdf,ground_truth/KOTAK/KOTAK_012.json,56,123171.64,29162.67,single_amount_suffix
KOTAK_013,KOTAK,pdfs/KOTAK/KOTAK_013.pdf,ground_truth/KOTAK/KOTAK_013.json,25,51563.13,89425.51,single_amount_suffix
KOTAK_014,KOTAK,pdfs/KOTAK/KOTAK_014.pdf,ground_truth/KOTAK/KOTAK_014.json,49,122393.04,19909.47,single_amount_suffix
KOTAK_015,KOTAK,pdfs/KOTAK/KOTAK_015.pdf,ground_truth/KOTAK/KOTAK_015.json,38,68271.97,37999.77,single_amount_suffix
PNB_001,PNB,pdfs/PNB/PNB_001.pdf,ground_truth/PNB/PNB_001.json,27,56755.48,60868.8,separate_dr_cr
PNB_002,PNB,pdfs/PNB/PNB_002.pdf,ground_truth/PNB/PNB_002.json,39,102642.17,73028.92,separate_dr_cr
PNB_003,PNB,pdfs/PNB/PNB_003.pdf,ground_truth/PNB/PNB_003.json,53,18743.13,-35368.84,separate_dr_cr
PNB_004,PNB,pdfs/PNB/PNB_004.pdf,ground_truth/PNB/PNB_004.json,55,82848.05,-29116.95,separate_dr_cr
PNB_005,PNB,pdfs/PNB/PNB_005.pdf,ground_truth/PNB/PNB_005.json,60,120410.77,40671.88,separate_dr_cr
PNB_006,PNB,pdfs/PNB/PNB_006.pdf,ground_truth/PNB/PNB_006.json,44,73814.19,36428.56,separate_dr_cr
PNB_007,PNB,pdfs/PNB/PNB_007.pdf,ground_truth/PNB/PNB_007.json,59,32544.62,18218.31,separate_dr_cr
PNB_008,PNB,pdfs/PNB/PNB_008.pdf,ground_truth/PNB/PNB_008.json,55,36294.26,-61684.0,separate_dr_cr
PNB_009,PNB,pdfs/PNB/PNB_009.pdf,ground_truth/PNB/PNB_009.json,51,98595.59,38964.99,separate_dr_cr
PNB_010,PNB,pdfs/PNB/PNB_010.pdf,ground_truth/PNB/PNB_010.json,59,98292.98,-3182.57,separate_dr_cr
PNB_011,PNB,pdfs/PNB/PNB_011.pdf,ground_truth/PNB/PNB_011.json,49,137726.35,59104.83,separate_dr_cr
PNB_012,PNB,pdfs/PNB/PNB_012.pdf,ground_truth/PNB/PNB_012.json,26,33973.3,34281.58,separate_dr_cr
PNB_013,PNB,pdfs/PNB/PNB_013.pdf,ground_truth/PNB/PNB_013.json,57,82374.27,-51495.79,separate_dr_cr
PNB_014,PNB,pdfs/PNB/PNB_014.pdf,ground_truth/PNB/PNB_014.json,54,50325.7,-35827.33,separate_dr_cr
PNB_015,PNB,pdfs/PNB/PNB_015.pdf,ground_truth/PNB/PNB_015.json,50,70668.98,-76530.34,separate_dr_cr
BOB_001,BOB,pdfs/BOB/BOB_001.pdf,ground_truth/BOB/BOB_001.json,27,57132.92,20583.01,single_amount_suffix
BOB_002,BOB,pdfs/BOB/BOB_002.pdf,ground_truth/BOB/BOB_002.json,57,92322.85,10939.92,single_amount_suffix
BOB_003,BOB,pdfs/BOB/BOB_003.pdf,ground_truth/BOB/BOB_003.json,50,54169.62,42574.27,single_amount_suffix
BOB_004,BOB,pdfs/BOB/BOB_004.pdf,ground_truth/BOB/BOB_004.json,59,83785.73,-29676.85,single_amount_suffix
BOB_005,BOB,pdfs/BOB/BOB_005.pdf,ground_truth/BOB/BOB_005.json,38,35950.88,19962.83,single_amount_suffix
BOB_006,BOB,pdfs/BOB/BOB_006.pdf,ground_truth/BOB/BOB_006.json,32,96795.31,79764.96,single_amount_suffix
BOB_007,BOB,pdfs/BOB/BOB_007.pdf,ground_truth/BOB/BOB_007.json,26,81287.15,52119.67,single_amount_suffix
BOB_008,BOB,pdfs/BOB/BOB_008.pdf,ground_truth/BOB/BOB_008.json,58,30600.53,-29001.55,single_amount_suffix
BOB_009,BOB,pdfs/BOB/BOB_009.pdf,ground_truth/BOB/BOB_009.json,40,63634.53,31640.59,single_amount_suffix
BOB_010,BOB,pdfs/BOB/BOB_010.pdf,ground_truth/BOB/BOB_010.json,39,146834.9,39209.61,single_amount_suffix
BOB_011,BOB,pdfs/BOB/BOB_011.pdf,ground_truth/BOB/BOB_011.json,51,56943.06,67711.38,single_amount_suffix
BOB_012,BOB,pdfs/BOB/BOB_012.pdf,ground_truth/BOB/BOB_012.json,33,110918.06,92681.49,single_amount_suffix
BOB_013,BOB,pdfs/BOB/BOB_013.pdf,ground_truth/BOB/BOB_013.json,55,63184.38,35159.75,single_amount_suffix
BOB_014,BOB,pdfs/BOB/BOB_014.pdf,ground_truth/BOB/BOB_014.json,46,41812.83,-6849.04,single_amount_suffix
BOB_015,BOB,pdfs/BOB/BOB_015.pdf,ground_truth/BOB/BOB_015.json,30,115799.44,96118.12,single_amount_suffix
YES_001,YES,pdfs/YES/YES_001.pdf,ground_truth/YES/YES_001.json,46,71267.02,90456.58,separate_dr_cr
YES_002,YES,pdfs/YES/YES_002.pdf,ground_truth/YES/YES_002.json,33,101017.89,116139.7,separate_dr_cr
YES_003,YES,pdfs/YES/YES_003.pdf,ground_truth/YES/YES_003.json,60,40496.82,-68710.72,separate_dr_cr
YES_004,YES,pdfs/YES/YES_004.pdf,ground_truth/YES/YES_004.json,55,61235.11,44642.44,separate_dr_cr
YES_005,YES,pdfs/YES/YES_005.pdf,ground_truth/YES/YES_005.json,30,74129.64,20904.43,separate_dr_cr
YES_006,YES,pdfs/YES/YES_006.pdf,ground_truth/YES/YES_006.json,47,36552.11,69812.63,separate_dr_cr
YES_007,YES,pdfs/YES/YES_007.pdf,ground_truth/YES/YES_007.json,41,45808.03,36093.11,separate_dr_cr
YES_008,YES,pdfs/YES/YES_008.pdf,ground_truth/YES/YES_008.json,38,9028.75,-45067.18,separate_dr_cr
YES_009,YES,pdfs/YES/YES_009.pdf,ground_truth/YES/YES_009.json,53,81807.28,-12958.06,separate_dr_cr
YES_010,YES,pdfs/YES/YES_010.pdf,ground_truth/YES/YES_010.json,27,44087.26,108330.72,separate_dr_cr
YES_011,YES,pdfs/YES/YES_011.pdf,ground_truth/YES/YES_011.json,52,121800.44,105547.56,separate_dr_cr
YES_012,YES,pdfs/YES/YES_012.pdf,ground_truth/YES/YES_012.json,28,71566.59,75710.79,separate_dr_cr
YES_013,YES,pdfs/YES/YES_013.pdf,ground_truth/YES/YES_013.json,60,38314.87,3978.54,separate_dr_cr
YES_014,YES,pdfs/YES/YES_014.pdf,ground_truth/YES/YES_014.json,25,13218.1,36436.27,separate_dr_cr
YES_015,YES,pdfs/YES/YES_015.pdf,ground_truth/YES/YES_015.json,32,91509.13,84164.2,separate_dr_cr
